Width,2
Run,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Maximum,1.9988649546944892,1.9998075700301385,1.999802778628716,1.9994925810860846,1.99921904248014,1.9995325424929884,1.9998861624976987,1.9994323019764595,1.999707467286895,1.9967467516096742,1.9992478925823578,1.9953445444346862,1.9999589792206858,1.9994261299746796,1.9997277049428595,1.9991199280380774,1.9999655699099377,1.999711766758216,1.9998896345001773,1.99967817621284,1.9954406650669685,1.9988533177857213,1.9998935793303263,1.999569901976531,1.9992865662374408,1.9993710754254468,1.9996075609005415,1.9977193744917425,1.999894834339747,1.9952508223535386,1.9995701647542572,0.03576206264181425,1.9998833201965147,1.999849994340328,1.9993717187522,1.9990175513128337,1.9989636765163112,1.9989363729944403,1.9988846184555906,1.9991752121565471,1.9987438452957633,1.9988870751319978,1.999360652274925,1.9999375477140875,0.040633314918652186,1.9993848684106306,1.999220256499201,1.9990278334617404,1.999901809780293,1.9981253971907151,1.9975395625168861,1.9992935122483386,1.999585273147345,1.999503278716385,1.9992220883153689,1.9999566610821993,1.9999637473022993,1.9995203538201376,1.9983833319548414,1.9989025779291119,1.9999199778732342,1.9989158269893519,1.9995393825232874,1.9998594546011943,1.99984271380804,1.9998010640579442,1.9998690627390667,1.9963687759262796,1.9990988560218643,1.9998634538665676,1.9989832850709666,1.9989822484261714,1.9997905608222522,1.9998896505988482,1.9989595446399706,1.9988861298784009,1.9967327184017303,1.9951302533804147,1.999604343198178,1.9991700834812511,1.9991266672148997,1.9993634213572022,1.9999875886788978,1.9999786154529382,1.9999591581044922,1.9994329419510994,1.9999489906080785,1.999797853026985,1.9997540450517328,1.9991057709572169,1.99918171844606,1.999572415222762,1.9996985791786206,1.9999672028980313,1.9991378385952805,1.9997344337435048,1.9999834803048477,1.9996958215966556,1.998806946008198,1.9970605510630297
Steps,15.0,37.0,26.0,32.0,20.0,9.0,121.0,48.0,77.0,35.0,86.0,16.0,118.0,109.0,50.0,23.0,111.0,101.0,9.0,52.0,46.0,24.0,90.0,46.0,28.0,67.0,12.0,18.0,32.0,37.0,49.0,7.0,46.0,27.0,79.0,25.0,40.0,17.0,36.0,29.0,9.0,51.0,40.0,53.0,18.0,47.0,30.0,27.0,53.0,35.0,12.0,92.0,25.0,20.0,9.0,101.0,45.0,53.0,49.0,119.0,38.0,41.0,2.0,52.0,41.0,6.0,63.0,29.0,52.0,24.0,96.0,90.0,42.0,104.0,10.0,110.0,24.0,56.0,24.0,14.0,23.0,12.0,25.0,37.0,23.0,27.0,35.0,47.0,30.0,34.0,45.0,25.0,38.0,11.0,72.0,41.0,19.0,53.0,43.0,51.0
Mean of the maximum,1.959924592828631
Standard deviation of the maximum,0.2745346677745694
Mean of the steps,43.47
Standard deviation of the steps,29.13158251794777

Width,4
Run,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Maximum,1.9990053597236626,1.9994703500975897,1.9992414560128684,1.9993808071597732,1.9993121749570322,1.9985576723085248,1.9991359009141236,1.9996473862174013,1.9998619874191768,1.9983893876173755,1.9993085380755684,1.9964418033790148,1.9993235539874177,1.9991764064183641,1.9992702726469094,1.9999249016006835,1.996396088454334,1.9949899330651535,1.9991722961116554,1.999689837887563,1.9998628806482306,1.999046051857572,1.999813967099254,1.9954605288385934,1.999782962419348,1.999331857215047,1.9994870881603592,1.9989958398787269,1.997320831717823,1.9988247811182522,1.99970429422808,1.9993957701563945,1.9990592733880923,1.9992078504061404,1.9994073527231564,1.998995969872127,1.9997404342138534,1.9987217835008106,1.9994392008808723,1.99994254758944,1.9998290676794066,1.9998670404511727,1.9991946472621827,1.999934690750293,1.9993126334222913,1.9993449995763455,1.999166009307799,1.9998567558073836,1.9999937191308406,1.9985847118949498,1.9986645489344141,1.9998215238812025,1.9999088904617057,1.9998730988661377,1.9995133290581597,1.9998520472378356,1.9999404441956075,1.9997343231982305,1.9987995737314554,1.999639586542418,1.9995937064590628,1.9963394124894367,1.9993939947217927,1.9980911751206274,1.9998447507702468,1.9993383011145205,1.9995732141960811,1.9995465005904247,1.9999774621441988,1.9993884646452091,1.9995826451366108,1.9999535404581308,1.999472207584236,1.9987624388852363,1.999776438474469,1.9997691755878004,1.999932081217676,1.9998908165923361,1.9992082149117771,1.9993039980525542,1.9999232128069546,1.9995016251320954,1.9991889913277845,1.9999127112813628,1.9992287178166848,1.999585590647225,1.9991216559724503,1.9998748314443884,1.9993604259013846,1.9999063995861164,1.9995668290747606,1.9994689306198816,1.9998779624497285,1.9990864500156142,1.999430283658001,1.9999912343120188,1.9995448380111314,1.998798714940559,1.999758042341394,1.9994902675463007
